optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
242,483,483,483,0.72669392824173,0.72669392824173,0.72669392824173,,,,,,
243,485,485,485,0.98744809627533,0.98744809627533,0.98744809627533,,,,,,
244,487,487,487,0.766511082649231,0.766511082649231,0.766511082649231,,,,,,
245,489,489,489,0.713521361351013,0.713521361351013,0.713521361351013,,,,,,
246,491,491,491,0.666817545890808,0.666817545890808,0.666817545890808,,,,,,
247,493,493,493,0.677916467189789,0.677916467189789,0.677916467189789,,,,,,
248,495,495,495,0.586917698383331,0.586917698383331,0.586917698383331,,,,,,
249,497,497,497,0.7266965508461,0.7266965508461,0.7266965508461,,,,,,
250,499,499,499,0.812582731246948,0.812582731246948,0.812582731246948,,,,,,
251,501,501,501,0.726564526557922,0.726564526557922,0.726564526557922,,,,,,
252,503,503,503,0.834963798522949,0.834963798522949,0.834963798522949,,,,,,
253,505,505,505,0.641729593276978,0.641729593276978,0.641729593276978,,,,,,
254,507,507,507,0.755618214607239,0.755618214607239,0.755618214607239,,,,,,
255,509,509,509,0.981739223003388,0.981739223003388,0.981739223003388,,,,,,
256,511,511,511,0.670942187309265,0.670942187309265,0.670942187309265,,,,,,
257,513,513,513,0.838710963726044,0.838710963726044,0.838710963726044,,,,,,
258,515,515,515,0.845751762390137,0.845751762390137,0.845751762390137,,,,,,
259,517,517,517,1.01767551898956,1.01767551898956,1.01767551898956,,,,,,
260,519,519,519,0.956836462020874,0.956836462020874,0.956836462020874,,,,,,
261,521,521,521,0.737816870212555,0.737816870212555,0.737816870212555,,,,,,
262,523,523,523,0.794134914875031,0.794134914875031,0.794134914875031,,,,,,
263,525,525,525,0.855798125267029,0.855798125267029,0.855798125267029,,,,,,
264,527,527,527,0.847802340984345,0.847802340984345,0.847802340984345,,,,,,
265,529,529,529,0.919515550136566,0.919515550136566,0.919515550136566,,,,,,
266,531,531,531,0.680606603622437,0.680606603622437,0.680606603622437,,,,,,
267,533,533,533,0.815552234649658,0.815552234649658,0.815552234649658,,,,,,
268,535,535,535,0.76255738735199,0.76255738735199,0.76255738735199,,,,,,
269,537,537,537,0.847875058650971,0.847875058650971,0.847875058650971,,,,,,
270,539,539,539,0.836905360221863,0.836905360221863,0.836905360221863,,,,,,
271,541,541,541,0.788015961647034,0.788015961647034,0.788015961647034,,,,,,
272,543,543,543,0.928766071796417,0.928766071796417,0.928766071796417,,,,,,
273,545,545,545,0.811742722988129,0.811742722988129,0.811742722988129,,,,,,
274,547,547,547,0.728811383247376,0.728811383247376,0.728811383247376,,,,,,
275,549,549,549,0.679694652557373,0.679694652557373,0.679694652557373,,,,,,
276,551,551,551,0.687867760658264,0.687867760658264,0.687867760658264,,,,,,
277,553,553,553,0.767400562763214,0.767400562763214,0.767400562763214,,,,,,
278,555,555,555,0.867181420326233,0.867181420326233,0.867181420326233,,,,,,
279,557,557,557,1.06511890888214,1.06511890888214,1.06511890888214,,,,,,
280,559,559,559,0.614110708236694,0.614110708236694,0.614110708236694,,,,,,
281,561,561,561,0.979654133319855,0.979654133319855,0.979654133319855,,,,,,
282,563,563,563,1.02781438827515,1.02781438827515,1.02781438827515,,,,,,
283,565,565,565,0.979410827159882,0.979410827159882,0.979410827159882,,,,,,
284,567,567,567,0.811236381530762,0.811236381530762,0.811236381530762,,,,,,
285,569,569,569,0.84811943769455,0.84811943769455,0.84811943769455,,,,,,
286,571,571,571,0.776715993881226,0.776715993881226,0.776715993881226,,,,,,
287,573,573,573,0.688644289970398,0.688644289970398,0.688644289970398,,,,,,
288,575,575,575,0.917011976242065,0.917011976242065,0.917011976242065,,,,,,
289,577,577,577,0.807555794715881,0.807555794715881,0.807555794715881,,,,,,
290,579,579,579,0.673889696598053,0.673889696598053,0.673889696598053,,,,,,
291,581,581,581,0.629798471927643,0.629798471927643,0.629798471927643,,,,,,
292,583,583,583,0.584123373031616,0.584123373031616,0.584123373031616,,,,,,
293,585,585,585,0.703040242195129,0.703040242195129,0.703040242195129,,,,,,
294,587,587,587,0.662197649478912,0.662197649478912,0.662197649478912,,,,,,
295,589,589,589,0.852952480316162,0.852952480316162,0.852952480316162,,,,,,
296,591,591,591,0.905968248844147,0.905968248844147,0.905968248844147,,,,,,
297,593,593,593,0.816307663917542,0.816307663917542,0.816307663917542,,,,,,
298,595,595,595,0.842462182044983,0.842462182044983,0.842462182044983,,,,,,
299,597,597,597,0.881108582019806,0.881108582019806,0.881108582019806,,,,,,
300,599,599,599,1.16469871997833,1.16469871997833,1.16469871997833,,,,,,
301,601,601,601,0.905043125152588,0.905043125152588,0.905043125152588,,,,,,
302,603,603,603,1.0184531211853,1.0184531211853,1.0184531211853,,,,,,
303,605,605,605,0.722040295600891,0.722040295600891,0.722040295600891,,,,,,
304,607,607,607,0.804189383983612,0.804189383983612,0.804189383983612,,,,,,
305,609,609,609,1.02259755134583,1.02259755134583,1.02259755134583,,,,,,
306,611,611,611,0.731439590454102,0.731439590454102,0.731439590454102,,,,,,
307,613,613,613,1.02473556995392,1.02473556995392,1.02473556995392,,,,,,
308,615,615,615,0.627941906452179,0.627941906452179,0.627941906452179,,,,,,
309,617,617,617,0.818658292293549,0.818658292293549,0.818658292293549,,,,,,
310,619,619,619,0.848015308380127,0.848015308380127,0.848015308380127,,,,,,
311,621,621,621,0.97907942533493,0.97907942533493,0.97907942533493,,,,,,
312,623,623,623,1.20748519897461,1.20748519897461,1.20748519897461,,,,,,
313,625,625,625,0.777863204479218,0.777863204479218,0.777863204479218,,,,,,
314,627,627,627,0.841300845146179,0.841300845146179,0.841300845146179,,,,,,
315,629,629,629,0.80289101600647,0.80289101600647,0.80289101600647,,,,,,
316,631,631,631,0.853740811347961,0.853740811347961,0.853740811347961,,,,,,
317,633,633,633,0.756515562534332,0.756515562534332,0.756515562534332,,,,,,
318,635,635,635,0.829367756843567,0.829367756843567,0.829367756843567,,,,,,
319,637,637,637,0.711329758167267,0.711329758167267,0.711329758167267,,,,,,
320,639,639,639,0.882094919681549,0.882094919681549,0.882094919681549,,,,,,
321,641,641,641,0.830480992794037,0.830480992794037,0.830480992794037,,,,,,
322,643,643,643,0.902403950691223,0.902403950691223,0.902403950691223,,,,,,
323,645,645,645,0.92849189043045,0.92849189043045,0.92849189043045,,,,,,
324,647,647,647,0.764424979686737,0.764424979686737,0.764424979686737,,,,,,
325,649,649,649,0.787947237491608,0.787947237491608,0.787947237491608,,,,,,
326,651,651,651,0.737791121006012,0.737791121006012,0.737791121006012,,,,,,
327,653,653,653,0.676903665065765,0.676903665065765,0.676903665065765,,,,,,
328,655,655,655,0.799560725688934,0.799560725688934,0.799560725688934,,,,,,
329,657,657,657,0.763654947280884,0.763654947280884,0.763654947280884,,,,,,
330,659,659,659,0.82087653875351,0.82087653875351,0.82087653875351,,,,,,
331,661,661,661,0.87976199388504,0.87976199388504,0.87976199388504,,,,,,
332,663,663,663,0.766395628452301,0.766395628452301,0.766395628452301,,,,,,
333,665,665,665,0.726656377315521,0.726656377315521,0.726656377315521,,,,,,
334,667,667,667,0.80048269033432,0.80048269033432,0.80048269033432,,,,,,
335,669,669,669,1.10911357402802,1.10911357402802,1.10911357402802,,,,,,
336,671,671,671,0.785194456577301,0.785194456577301,0.785194456577301,,,,,,
337,673,673,673,0.793863713741303,0.793863713741303,0.793863713741303,,,,,,
