"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - word_embed_l2_param_norm","recur1b-mig-212 - word_embed_l2_param_norm__MIN","recur1b-mig-212 - word_embed_l2_param_norm__MAX"
"345","689","689","689","130.98175048828125","130.98175048828125","130.98175048828125"
"346","691","691","691","131.0189971923828","131.0189971923828","131.0189971923828"
"347","693","693","693","131.0562744140625","131.0562744140625","131.0562744140625"
"348","695","695","695","131.0931396484375","131.0931396484375","131.0931396484375"
"349","697","697","697","131.1296844482422","131.1296844482422","131.1296844482422"
"350","699","699","699","131.1669921875","131.1669921875","131.1669921875"
"351","701","701","701","131.20303344726562","131.20303344726562","131.20303344726562"
"352","703","703","703","131.23977661132812","131.23977661132812","131.23977661132812"
"353","705","705","705","131.27603149414062","131.27603149414062","131.27603149414062"
"354","707","707","707","131.31275939941406","131.31275939941406","131.31275939941406"
"355","709","709","709","131.34898376464844","131.34898376464844","131.34898376464844"
"356","711","711","711","131.384765625","131.384765625","131.384765625"
"357","713","713","713","131.4207763671875","131.4207763671875","131.4207763671875"
"358","715","715","715","131.4572296142578","131.4572296142578","131.4572296142578"
"359","717","717","717","131.49307250976562","131.49307250976562","131.49307250976562"
"360","719","719","719","131.52957153320312","131.52957153320312","131.52957153320312"
"361","721","721","721","131.5653533935547","131.5653533935547","131.5653533935547"
"362","723","723","723","131.60137939453125","131.60137939453125","131.60137939453125"
"363","725","725","725","131.6370086669922","131.6370086669922","131.6370086669922"
"364","727","727","727","131.6727752685547","131.6727752685547","131.6727752685547"
"365","729","729","729","131.70887756347656","131.70887756347656","131.70887756347656"
"366","731","731","731","131.74447631835938","131.74447631835938","131.74447631835938"
"367","733","733","733","131.77992248535156","131.77992248535156","131.77992248535156"
"368","735","735","735","131.81539916992188","131.81539916992188","131.81539916992188"
"369","737","737","737","131.85072326660156","131.85072326660156","131.85072326660156"
"370","739","739","739","131.88645935058594","131.88645935058594","131.88645935058594"
"371","741","741","741","131.9210662841797","131.9210662841797","131.9210662841797"
"372","743","743","743","131.95660400390625","131.95660400390625","131.95660400390625"
"373","745","745","745","131.99160766601562","131.99160766601562","131.99160766601562"
"374","747","747","747","132.02731323242188","132.02731323242188","132.02731323242188"
"375","749","749","749","132.0619354248047","132.0619354248047","132.0619354248047"
"376","751","751","751","132.0974578857422","132.0974578857422","132.0974578857422"
"377","753","753","753","132.13282775878906","132.13282775878906","132.13282775878906"
"378","755","755","755","132.1687469482422","132.1687469482422","132.1687469482422"
"379","757","757","757","132.20419311523438","132.20419311523438","132.20419311523438"
"380","759","759","759","132.23875427246094","132.23875427246094","132.23875427246094"
"381","761","761","761","132.27490234375","132.27490234375","132.27490234375"
"382","763","763","763","132.310546875","132.310546875","132.310546875"
"383","765","765","765","132.34568786621094","132.34568786621094","132.34568786621094"
"384","767","767","767","132.38104248046875","132.38104248046875","132.38104248046875"
"385","769","769","769","132.4154815673828","132.4154815673828","132.4154815673828"
"386","771","771","771","132.4512481689453","132.4512481689453","132.4512481689453"
"387","773","773","773","132.48602294921875","132.48602294921875","132.48602294921875"
"388","775","775","775","132.5203399658203","132.5203399658203","132.5203399658203"
