"total_tokens","_step","_step__MIN","_step__MAX","val_loss_1","val_loss_1__MIN","val_loss_1__MAX","val_loss_2","val_loss_2__MIN","val_loss_2__MAX","val_loss_4","val_loss_4__MIN","val_loss_4__MAX","val_loss_8","val_loss_8__MIN","val_loss_8__MAX","val_loss_16","val_loss_16__MIN","val_loss_16__MAX"
"637534208","2431","2431","2431","3.5327813625335693","3.5327813625335693","3.5327813625335693","3.277014970779419","3.277014970779419","3.277014970779419","3.210848093032837","3.210848093032837","3.210848093032837","3.20519757270813","3.20519757270813","3.20519757270813","3.2051098346710205","3.2051098346710205","3.2051098346710205"
"645922816","2463","2463","2463","3.531395196914673","3.531395196914673","3.531395196914673","3.2755699157714844","3.2755699157714844","3.2755699157714844","3.210313558578491","3.210313558578491","3.210313558578491","3.2053050994873047","3.2053050994873047","3.2053050994873047","3.205408811569214","3.205408811569214","3.205408811569214"
"654311424","2495","2495","2495","3.5382537841796875","3.5382537841796875","3.5382537841796875","3.2768547534942627","3.2768547534942627","3.2768547534942627","3.2093772888183594","3.2093772888183594","3.2093772888183594","3.202450752258301","3.202450752258301","3.202450752258301","3.2022743225097656","3.2022743225097656","3.2022743225097656"
"662700032","2527","2527","2527","3.529561996459961","3.529561996459961","3.529561996459961","3.268091917037964","3.268091917037964","3.268091917037964","3.1994097232818604","3.1994097232818604","3.1994097232818604","3.1931238174438477","3.1931238174438477","3.1931238174438477","3.192966938018799","3.192966938018799","3.192966938018799"
"671088640","2559","2559","2559","3.527604341506958","3.527604341506958","3.527604341506958","3.268010139465332","3.268010139465332","3.268010139465332","3.201782464981079","3.201782464981079","3.201782464981079","3.195542573928833","3.195542573928833","3.195542573928833","3.195448637008667","3.195448637008667","3.195448637008667"
"679477248","2591","2591","2591","3.5243687629699707","3.5243687629699707","3.5243687629699707","3.267768383026123","3.267768383026123","3.267768383026123","3.2014122009277344","3.2014122009277344","3.2014122009277344","3.1953964233398438","3.1953964233398438","3.1953964233398438","3.1951637268066406","3.1951637268066406","3.1951637268066406"
"687865856","2623","2623","2623","3.5238664150238037","3.5238664150238037","3.5238664150238037","3.266526699066162","3.266526699066162","3.266526699066162","3.200754404067993","3.200754404067993","3.200754404067993","3.19435977935791","3.19435977935791","3.19435977935791","3.1943135261535645","3.1943135261535645","3.1943135261535645"
"696254464","2655","2655","2655","3.5246310234069824","3.5246310234069824","3.5246310234069824","3.2629077434539795","3.2629077434539795","3.2629077434539795","3.196349620819092","3.196349620819092","3.196349620819092","3.189927339553833","3.189927339553833","3.189927339553833","3.189866304397583","3.189866304397583","3.189866304397583"
"704643072","2687","2687","2687","3.5202324390411377","3.5202324390411377","3.5202324390411377","3.256085157394409","3.256085157394409","3.256085157394409","3.189958333969116","3.189958333969116","3.189958333969116","3.1837520599365234","3.1837520599365234","3.1837520599365234","3.183246612548828","3.183246612548828","3.183246612548828"
"713031680","2719","2719","2719","3.5121989250183105","3.5121989250183105","3.5121989250183105","3.2537388801574707","3.2537388801574707","3.2537388801574707","3.1860766410827637","3.1860766410827637","3.1860766410827637","3.179785966873169","3.179785966873169","3.179785966873169","3.179826021194458","3.179826021194458","3.179826021194458"
